2025-04-11 10:28:32.3277 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 7.3637ms
2025-04-11 10:28:32.4181 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/v1/swagger.json - -
2025-04-11 10:28:32.4181 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 2.3088ms
2025-04-11 10:28:46.8016 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/index.html - -
2025-04-11 10:28:46.8016 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/swagger/index.html - - - 200 - text/html;charset=utf-8 5.0500ms
2025-04-11 10:28:46.8205 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/_framework/aspnetcore-browser-refresh.js - -
2025-04-11 10:28:46.8205 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/_vs/browserLink - -
2025-04-11 10:28:46.8205 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/_framework/aspnetcore-browser-refresh.js - - - 200 12010 application/javascript;+charset=utf-8 0.2000ms
2025-04-11 10:28:46.8304 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 9.7137ms
2025-04-11 10:28:46.8999 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/v1/swagger.json - -
2025-04-11 10:28:46.9026 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 2.7295ms
2025-04-11 10:28:52.1086 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/index.html - -
2025-04-11 10:28:52.1086 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/swagger/index.html - - - 200 - text/html;charset=utf-8 4.8853ms
2025-04-11 10:28:52.1324 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/_framework/aspnetcore-browser-refresh.js - -
2025-04-11 10:28:52.1324 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/_framework/aspnetcore-browser-refresh.js - - - 200 12010 application/javascript;+charset=utf-8 0.2081ms
2025-04-11 10:28:52.1324 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/_vs/browserLink - -
2025-04-11 10:28:52.1424 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 9.3422ms
2025-04-11 10:28:52.1998 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/v1/swagger.json - -
2025-04-11 10:28:52.1998 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5095/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 1.5407ms
2025-04-11 10:28:52.3784 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5095/swagger/index.html - -
